IP LIN
PA -361.5 -358.5 -355.5 -352.5 -349.5 -346.5 -343.5 -340.5 -337.5 -334.5 -331.5 -328.5 -325.5 -322.5 -319.5 -316.5 -313.5 -310.5 -307.5 -304.5 -301.5 -298.5 -295.5 -292.5 -289.5 -286.5 -283.5 -280.5 -277.5 -274.5 -271.5 -268.5 -265.5 -262.5 -259.5 -256.5 -253.5 -250.5 -247.5 -244.5 -241.5 -238.5 -235.5 -232.5 -229.5 -226.5 -223.5 -220.5 -217.5 -214.5 -211.5 -208.5 -205.5 -202.5 -199.5 -196.5 -193.5 -190.5 -187.5 -184.5 -181.5 -178.5 -175.5 -172.5 -169.5 -166.5 -163.5 -160.5 -157.5 -154.5 -151.5 -148.5 -145.5 -142.5 -139.5 -136.5 -133.5 -130.5 -127.5 -124.5 -121.5 -118.5 -115.5 -112.5 -109.5 -106.5 -103.5 -100.5 -97.5 -94.5 -91.5 -88.5 -85.5 -82.5 -79.5 -76.5 -73.5 -70.5 -67.5 -64.5 -61.5 -58.5 -55.5 -52.5 -49.5 -46.5 -43.5 -40.5 -37.5 -34.5 -31.5 -28.5 -25.5 -22.5 -19.5 -16.5 -13.5 -10.5 -7.5 -4.5 -1.5 1.5
TA 0.0 3.0 6.0 9.0 12.0 15.0 18.0 21.0 24.0 27.0 30.0 33.0 36.0 39.0 42.0 45.0 48.0 51.0 54.0 57.0 60.0 63.0 66.0 69.0 72.0 75.0 78.0 81.0 84.0 87.0 90.0 93.0 96.0 99.0 102.0 105.0 108.0 111.0 114.0 117.0 120.0 123.0 126.0 129.0 132.0 135.0 138.0 141.0 144.0 147.0 150.0 153.0 156.0 159.0 162.0 165.0 168.0 171.0 174.0 177.0 180.0
EA 1808.6290000000001 1808.63 1808.631
AP 6 57 1 0.0
AP 6 58 1 0.0
AP 6 59 1 0.0
AP 6 60 1 0.0
AP 7 0 1 0.0
AP 7 1 1 0.0
AP 7 2 1 0.0
AP 7 3 1 0.0
AP 7 4 1 6.24819e-318
AP 7 5 1 1.6781e-293
AP 7 6 1 4.75029e-270
AP 7 7 1 1.41729e-247
AP 7 8 1 4.45694e-226
AP 7 9 1 1.47724e-205
AP 7 10 1 5.16063e-186
AP 7 11 1 1.90017e-167
AP 7 12 1 7.37426e-150
AP 7 13 1 3.01635e-133
AP 7 14 1 1.30042e-117
AP 7 15 1 5.90912e-103
AP 7 16 1 2.83008e-89
AP 7 17 1 1.42861e-76
AP 7 18 1 7.60087e-65
AP 7 19 1 4.26238e-54
AP 7 20 1 2.51929e-44
AP 7 21 1 1.56943e-35
AP 7 22 1 1.03048e-27
AP 7 23 1 7.13148e-21
AP 7 24 1 5.20182e-15
AP 7 25 1 3.99915e-10
AP 7 26 1 3.24055e-06
AP 7 27 1 0.00276762
AP 7 28 1 0.249133
AP 7 29 1 2.36371
AP 7 30 1 2.36371
AP 7 31 1 0.249133
AP 7 32 1 0.00276762
AP 7 33 1 3.24055e-06
AP 7 34 1 3.99915e-10
AP 7 35 1 5.20182e-15
AP 7 36 1 7.13148e-21
AP 7 37 1 1.03048e-27
AP 7 38 1 1.56943e-35
AP 7 39 1 2.51929e-44
AP 7 40 1 4.26238e-54
AP 7 41 1 7.60087e-65
AP 7 42 1 1.42861e-76
AP 7 43 1 2.83008e-89
AP 7 44 1 5.90912e-103
AP 7 45 1 1.30042e-117
AP 7 46 1 3.01635e-133
AP 7 47 1 7.37426e-150
AP 7 48 1 1.90017e-167
AP 7 49 1 5.16063e-186
AP 7 50 1 1.47724e-205
AP 7 51 1 4.45694e-226
AP 7 52 1 1.41729e-247
AP 7 53 1 4.75029e-270
AP 7 54 1 1.6781e-293
AP 7 55 1 6.24819e-318
AP 7 56 1 0.0
AP 7 57 1 0.0
AP 7 58 1 0.0
AP 7 59 1 0.0
AP 7 60 1 0.0
AP 8 0 1 0.0
AP 8 1 1 0.0
AP 8 2 1 0.0
AP 8 3 1 0.0
AP 8 4 1 6.47434e-318
AP 8 5 1 1.73884e-293
AP 8 6 1 4.92223e-270
AP 8 7 1 1.46859e-247
AP 8 8 1 4.61826e-226
AP 8 9 1 1.53071e-205
AP 8 10 1 5.34742e-186
AP 8 11 1 1.96894e-167
AP 8 12 1 7.64117e-150
AP 8 13 1 3.12553e-133
AP 8 14 1 1.34749e-117
AP 8 15 1 6.123e-103
AP 8 16 1 2.93252e-89
AP 8 17 1 1.48031e-76
AP 8 18 1 7.87598e-65
AP 8 19 1 4.41665e-54
AP 8 20 1 2.61047e-44
AP 8 21 1 1.62623e-35
AP 8 22 1 1.06778e-27
AP 8 23 1 7.3896e-21
AP 8 24 1 5.3901e-15
AP 8 25 1 4.1439e-10
AP 8 26 1 3.35784e-06
AP 8 27 1 0.00286779
AP 8 28 1 0.25815
AP 8 29 1 2.44926
AP 8 30 1 2.44926
AP 8 31 1 0.25815
AP 8 32 1 0.00286779
AP 8 33 1 3.35784e-06
AP 8 34 1 4.1439e-10
AP 8 35 1 5.3901e-15
AP 8 36 1 7.3896e-21
AP 8 37 1 1.06778e-27
AP 8 38 1 1.62623e-35
AP 8 39 1 2.61047e-44
AP 8 40 1 4.41665e-54
AP 8 41 1 7.87598e-65
AP 8 42 1 1.48031e-76
AP 8 43 1 2.93252e-89
AP 8 44 1 6.123e-103
AP 8 45 1 1.34749e-117
AP 8 46 1 3.12553e-133
AP 8 47 1 7.64117e-150
AP 8 48 1 1.96894e-167
AP 8 49 1 5.34742e-186
AP 8 50 1 1.53071e-205
AP 8 51 1 4.61826e-226
AP 8 52 1 1.46859e-247
AP 8 53 1 4.92223e-270
AP 8 54 1 1.73884e-293
AP 8 55 1 6.47434e-318
AP 8 56 1 0.0
AP 8 57 1 0.0
AP 8 58 1 0.0
AP 8 59 1 0.0
AP 8 60 1 0.0
AP 9 0 1 0.0
AP 9 1 1 0.0
AP 9 2 1 0.0
AP 9 3 1 0.0
